// Characters (read)
友[友]	you3
多[多]	duo1
外[外]	wai4
力[力]	li4
飞[飛]	fei1
白[白]	bai2
元[元]	yuan2
自[自]	zi4
儿[兒]	er2
男[男]	nan2
五[五]	wu3
三[三]	san1
月[月]	yue4
朋[朋]	peng2
明[明]	ming2
肉[肉]	rou4
方[方]	fang1
千[千]	qian1
贝[貝]	bei4
见[見]	jian4
左[左]	zuo3
内[內]	nei4
万[萬]	wan4
百[百]	bai3
来[來]	lai2
米[米]	mi3
几[幾]	ji3
己[己]	ji3
已[已]	yi3
木[木]	mu4
本[本]	ben3
也[也]	ye3
可[可]	ke3
她[她]	ta1
他[他]	ta1
水[水]	shui3
后[后]	hou4
下[下]	xia4
头[頭]	tou2
右[右]	you4
上[上]	shang4
门[門]	men2
们[們]	men5
问[問]	wen4
间[間]	jian1
开[開]	kai1
巴[巴]	ba1
是[是]	shi4
不[不]	bu4
还[還]	hai2
在[在]	zai4
有[有]	you3
没[沒]	mei2
点[點]	dian3
时[時]	shi2
那[那]	na4
哪[哪]	na3
国[國]	guo2
吗[嗎]	ma5
两[兩]	liang3
电[電]	dian4
早[早]	zao3
卡[卡]	ka3
// Write #2
圆[圓]	yuan2
这[這]	zhe4
放[放]	fang4
零[零]	ling2
气[氣]	qi4
云[云]	yun2
会[會]	hui4
员[員]	yuan2
红[紅]	hong2
年[年]	nian2
牛[牛]	niu2
午[午]	wu3
生[生]	sheng1
羊[羊]	yang2
鱼[魚]	yu2
以[以]	yi3
平[平]	ping2
马[馬]	ma3
火[火]	huo3
给[給]	gei3
公[公]	gong1
关[關]	guan1
色[色]	se4
吧[吧]	ba5
机[機]	ji1
手[手]	shou3
毛[毛]	mao2
前[前]	qian2
面[面]	mian4
车[車]	che1
东[東]	dong1
西[西]	xi1
南[南]	nan2
北[北]	bei3
化[化]	hua4
学[學]	xue2
习[習]	xi2
分[分]	fen1
之[之]	zhi1
弯[彎]	wan1
张[張]	zhang1
真[真]	zhen1
假[假]	jia3
具[具]	ju4
而[而]	er2
且[且]	qie3
姐[姐]	jie3
未[未]	wei4
妹[妹]	mei4
末[末]	mo4
弟[弟]	di4
第[第]	di4
奶[奶]	nai3
父[父]	fu4
爸[爸]	ba4
爷[爺]	ye2
姓[姓]	xing4
名[名]	ming2
性[性]	xing4
别[別]	bie2
认[認]	ren4
识[識]	shi2
知[知]	zhi1
道[道]	dao4
经[經]	jing1
常[常]	chang2
兄[兄]	xiong1
风[風]	feng1
雨[雨]	yu3
雪[雪]	xue3
空[空]	kong4
满[滿]	man3
亮[亮]	liang4
暗[暗]	an4
深[深]	shen1
浅[淺]	qian3
丑[醜]	chou3
妞[妞]	niu1
台[颱]	tai2
始[始]	shi3
结[結]	jie2
束[束]	shu4
互[互]	hu4
相[相]	xiang1
晚[晚]	wan3
再[再]	zai4
错[錯]	cuo4
借[借]	jie4
板[板]	ban3
漂[漂]	piao1
票[票]	piao4
服[服]	fu2
亲[親]	qin1
题[題]	ti2
页[頁]	ye4
短[短]	duan3
系[系]	xi4
重[重]	zhong4
轻[輕]	qing1
// Write #3
受[受]	shou4
先[先]	xian1
含[含]	han2
贴[貼]	tie1
俩[倆]	lia3
仨[仨]	sa1
甲[甲]	jia3
乙[乙]	yi3
刀[刀]	dao1
叉[叉]	cha1
书[書]	shu1
石[石]	shi2
条[條]	tiao2
司[司]	si1
边[邊]	bian1
衣[衣]	yi1
杯[杯]	bei1
走[走]	zou3
坐[坐]	zuo4
作[作]	zuo4
做[做]	zuo4
古[古]	gu3
昨[昨]	zuo2
今[今]	jin1
金[金]	jin1
行[行]	xing2
花[花]	hua1
语[語]	yu3
言[言]	yan2
说[說]	shuo1
话[話]	hua4
舌[舌]	she2
寸[寸]	cun4
双[雙]	shuang1
只[隻]	zhi1
支[支]	zhi1
呢[呢]	ne5
赞[贊]	zan4
里[裏]	li3
果[果]	guo3
苹[蘋]	ping2
课[課]	ke4
棵[棵]	ke1
对[對]	dui4
树[樹]	shu4
草[草]	cao3
什[甚]	shen2
么[麼]	me5
为[為]	wei4
心[心]	xin1
怎[怎]	zen3
样[樣]	yang4
吃[吃]	chi1
家[家]	jia1
爱[愛]	ai4
宝[寶]	bao3
字[字]	zi4
老[老]	lao3
师[師]	shi1
身[身]	shen1
体[體]	ti3
谢[謝]	xie4
拍[拍]	pai1
菜[菜]	cai4
胖[胖]	pang4
肥[肥]	fei2
瘦[瘦]	shou4
离[離]	li2
容[容]	rong2
易[易]	yi4
达[達]	da2
波[波]	bo1
婆[婆]	po2
世[世]	shi4
界[界]	jie4
码[碼]	ma3
累[累]	lei4
静[靜]	jing4
吵[吵]	chao3
喜[喜]	xi3
欢[歡]	huan1
球[球]	qiu2
半[半]	ban4
皮[皮]	pi2
肤[膚]	fu1
丈[丈]	zhang4
夫[夫]	fu1
身体[身體]	shen1ti3
// Write #4
读[讀]	du2
写[寫]	xie3
黑[黑]	hei1
灰[灰]	hui1
黄[黃]	huang2
绿[綠]	lü4
蓝[藍]	lan2
橙[橙]	cheng2
桔[桔]	ju2
紫[紫]	zi3
低[低]	di1
底[底]	di3
住[住]	zhu4
班[班]	ban1
汽[汽]	qi4
婚[婚]	hun1
安[安]	an1
音[音]	yin1
乐[樂]	yue4
乐[樂]	le4
脑[腦]	nao3
纸[紙]	zhi3
加[加]	jia1
厨[廚]	chu2
傅[傅]	fu4
减[減]	jian3
到[到]	dao4
颜[顏]	yan2
星[星]	xing1
阴[陰]	yin1
阳[陽]	yang2
光[光]	guang1
晴[晴]	qing2
刮[刮]	gua1
季[季]	ji4
秋[秋]	qiu1
冬[冬]	dong1
味[味]	wei4
灭[滅]	mie4
视[視]	shi4
期[期]	qi1
节[節]	jie2
春[春]	chun1
夏[夏]	xia4
香[香]	xiang1
臭[臭]	chou4
吹[吹]	chui1
器[器]	qi4
犬[犬]	quan3
箱[箱]	xiang1
盒[盒]	he2
信[信]	xin4
祝[祝]	zhu4
从[從]	cong2
采[採]	cai3
彩[彩]	cai3
候[候]	hou4
过[過]	guo4
难[難]	nan2
新[新]	xin1
旧[舊]	jiu4
扫[掃]	sao3
退[退]	tui4
收[收]	shou1
免[免]	mian3
费[費]	fei4
兔[兔]	tu4
发[發]	fa1
照[照]	zhao4
跟[跟]	gen1
反[反]	fan3
饭[飯]	fan4
最[最]	zui4
僈[僈]	man2
矮[矮]	ai3
拉[拉]	la1
推[推]	tui1
踢[踢]	ti1
求[求]	qiu2
欠[欠]	qian4
妻[妻]	qi1
密[密]	mi4
秘[祕]	mi4
蜜[蜜]	mi4
必[必]	bi4
简[簡]	jian3
单[單]	dan1
病[病]	bing4
丙[丙]	bing3
丁[丁]	ding1
疼[疼]	teng2
饮[飲]	yin4
食[食]	si4
料[料]	liao4
品[品]	pin3
合[合]	he2
画[畫]	hua4
虫[蟲]	chong2
须[須]	xu1
总[縂]	zong3
// Ready
韩[韓]	Han2
朝[朝]	chao2
勾[勾]	gou1
叔[叔]	shu1
椒[椒]	jiao1
浓[濃]	nong2
淡[淡]	dan4
典[典]	dian3
警[警]	jing3
郊[郊]	jiao1
巨[巨]	ju4
运动[運動]	yun4dong4
围[圍]	wei2
代[代]	dai4
将[將]	jiang1
烦[煩]	fan2
察[察]	cha2
记[記]	ji4
段[段]	duan4
锻炼[鍛煉]	duan4lian4
特别[特別]	te4bie2
// Write #5
款[款]	kuan3
物[物]	wu4
息[息]	xi1
声[聲]	sheng1
适[適]	shi4
失[失]	shi1
净[淨]	jing4
澡[澡]	zao3
伴[伴]	ban4
牙[牙]	ya2
调[調]	diao4
操[操]	cao1
送[送]	song4
